Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, CBOOT1",0805,3,0.1uF,
C2,0805,1,Cbypass,
C4,2220,1,4.7uF,
"COUT1, COUT2",1210,2,22uF,
D1,0603,1,Shottky,
E-STOP,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,E-Stop button,
ESP-32 ,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,ESP32,
F1,3557-15_KEY,1,Fuse 1A,
F2,40A fuse holder,1,Fuse 40A,
"F3, F4, F5, F6",40A fuse holder,4,Fuse 15A,
J2,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Motor1,
J3,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Motor2,
J4,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Motor3,
J5,AMASS_XT30U-F_1x02_P5.0mm_Vertical,1,Motor4,
J6,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Battery connections,
J7,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Relay contact,
K2,RELAY_G6L-1P_DC12,1,Restart button relay,
LOUT1,L_Bourns_SRR1260,1,68uH,
R1,2512,1,1m,
R2,0805,1,191k,
R3,0805,1,10k,
R4,0805,1,100,
RELAY CONTROL,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Relay control,
RFBB1,0805,1,7.15k,
RFBT1,0805,1,100k,
S1,SW_D6R90_F1_LFS,1,D6R90_F1_LFS,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D4.0mm,5,1.0mm,
U1,SOT95P280X145-6N,1,LMR51610XDBVR,
U3,TSSOP-8_4.4x3mm_P0.65mm,1,INA240A2PW,
