Designator,Mid X,Mid Y,Rotation,Layer
C1,181.102,-84.582,270.0,top
C2,162.6,-96.9,0.0,top
C3,84.3,-100.0,270.0,top
C4,85.1,-92.9275,90.0,top
CBOOT1,92.3075,-91.2,180.0,top
COUT1,105.8,-96.4,90.0,top
COUT2,101.2,-96.4,90.0,top
D1,183.7,-84.7,90.0,top
E-STOP,122.575,-76.2,0.0,top
ESP-32 ,166.43,-76.2,0.0,top
F1,118.491,-94.6658,0.0,top
F2,112.6,-110.0,0.0,top
F3,184.142,-95.41,0.0,top
F4,184.142,-105.41,0.0,top
F5,184.142,-115.41,0.0,top
F6,184.142,-125.41,0.0,top
J2,211.492,-95.41,180.0,top
J3,211.492,-105.41,180.0,top
J4,211.492,-115.41,180.0,top
J5,211.492,-125.41,180.0,top
J6,87.884,-115.526,270.0,top
J7,141.5,-110.0,0.0,top
K2,137.414,-96.012,270.0,top
LOUT1,102.87,-80.645,0.0,top
R1,160.528,-109.982,0.0,top
R2,171.702,-85.09,180.0,top
R3,176.53,-87.122,180.0,top
R4,176.463,-81.534,180.0,top
RELAY CONTROL,149.88,-76.2,0.0,top
RFBB1,97.3,-98.425,90.0,top
RFBT1,97.3,-94.2575,90.0,top
S1,137.454,-82.256,180.0,top
U1,92.075,-94.615,180.0,top
U3,160.655,-102.235,0.0,top
