Reference,Qty,Value,DNP,Footprint,Datasheet,Digi-Key_PN
"C101,C102",10,"4,7µF",,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1276-2970-1-ND
"C103,C104",10,1nF,,Capacitor_SMD:C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,,399-C1812C104MDRACTUCT-ND
"C201,C209",10,22μF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1276-6501-1-ND
"C202,C203,C204,C205,C208,C301,C302",35,0.1μF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,399-C0805C104K5RACTUCT-ND
"C206,C207",10,12pF,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,399-C0805C120J8HACTUCT-ND
C210,5,47nF,,Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,,1276-2960-1-ND
D101,5,POWER LED,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1516-QBLP631-IG5CT-ND
"D102,D103",10,BAV99,,Package_TO_SOT_SMD:SOT-23,https://assets.nexperia.com/documents/data-sheet/BAV99_SER.pdf,1655-BAV99CT-ND
D201,5,USBLC6-2SC6,,BIMU:SOT23-6L,https://www.umw-ic.com/static/pdf/b2c190f0a00a742e1ffd3347f22dc112.pdf,4518-USBLC6-2SC6CT-ND
D202,5,CONNECTED LED,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1516-QBLP631-IB5CT-ND
D203,5,ERROR LED,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1516-QBLP631-R5-2897CT-ND
J202,5,USB_C_Receptacle_USB2.0_16P,,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,2073-USB4105-GF-ACT-ND
"J203,J204",10,RJ45,,Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal,,609-1046-ND
"R101,R209,R210",15,330Ω,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,541-4168-1-ND
"R201,R202,R207,R208",20,5.1KΩ,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,541-CRCW08055K10FKEACCT-ND
"R211,R212",10,50Ω,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,541-CRCW080550R0FKTACT-ND
"SW201,SW202",10,SW_Push,,Button_Switch_SMD:SW_SPST_B3U-1000P,,SW1021CT-ND
U101,5,AP7361C-33E,,Package_TO_SOT_SMD:SOT-223-3_TabPin2,https://www.diodes.com/assets/Datasheets/AP7361C.pdf,AP7361C-33E-13DICT-ND
U201,5,ESP32-C3,,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf,1904-ESP32-C3FH4CT-ND
U202,5,SN65HVD232DR,,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn65hvd230,296-26344-1-ND
U301,5,LSM6DSV16BXTR,,Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,https://www.st.com/content/ccc/resource/technical/document/datasheet/group3/fe/cf/21/3f/ed/a7/43/1c/DM00803257/files/DM00803257.pdf/jcr:content/translations/en.DM00803257.pdf,497-LSM6DSV16BXTRCT-ND
Y201,5,ABM8-40.000MHZ-10-D1G-T,,Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm,,535-14997-1-ND
