Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Digi-Key_PN
"C101,C102",2,"4,7µF",,,,1276-2970-1-ND
"C103,C104",2,1nF,,,,399-C1812C104MDRACTUCT-ND
"C201,C209",2,22μF,,,,1276-6501-1-ND
"C202,C203,C204,C205,C208,C301,C302",7,0.1μF,,,,399-C0805C104K5RACTUCT-ND
"C206,C207",2,12pF,,,,399-C0805C120J8HACTUCT-ND
C210,1,47nF,,,,1276-2960-1-ND
D101,1,POWER LED,,,,1516-QBLP631-IG5CT-ND
"D102,D103",2,BAV99,,,,1655-BAV99CT-ND
D201,1,USBLC6-2SC6,,,,497-5235-1-ND
D202,1,CONNECTED LED,,,,1516-QBLP631-IB5CT-ND
D203,1,ERROR LED,,,,1516-QBLP631-R5-2897CT-ND
J202,1,USB_C_Receptacle_USB2.0_16P,,,,2073-USB4105-GF-ACT-ND
"J203,J204",2,RJ45,,,,609-1046-ND
"R101,R209,R210",3,330Ω,,,,541-4168-1-ND
"R201,R202,R207,R208",4,5.1KΩ,,,,541-CRCW08055K10FKEACCT-ND
"R211,R212",2,50Ω,,,,541-CRCW080550R0FKTACT-ND
"SW201,SW202",2,SW_Push,,,,SW1021CT-ND
U101,1,AP7361C-33E,,,,AP7361C-33E-13DICT-ND
U201,1,ESP32-C3,,,,1904-ESP32-C3FH4CT-ND
U202,1,SN65HVD232DR,,,,296-26344-1-ND
U301,1,LSM6DSV16BXTR,,,,497-LSM6DSV16BXTRCT-ND
Y201,1,ABM8-40.000MHZ-10-D1G-T,,,,535-14997-1-ND
