Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0805,2,"4,7µF",
"C103, C104",1812,2,1nF,
"C201, C209",0805,2,22μF,
"C202, C203, C204, C205, C208, C301, C302",0805,7,0.1μF,
"C206, C207",0805,2,12pF,
C210,0603,1,47nF,
D101,0805,1,POWER LED,
"D102, D103",SOT-23,2,BAV99,
D201,SOT23-6L,1,USBLC6-2SC6,USBLC6-2SC6
D202,0805,1,CONNECTED LED,
D203,0805,1,ERROR LED,
J202,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J203, J204",RJ45_Amphenol_54602-x08_Horizontal,2,RJ45,
"R101, R209, R210",0805,3,330Ω,
"R201, R202, R207, R208",0805,4,5.1KΩ,
"R203, R204, R205, R206",0402,4,0Ω,
"R211, R212",0805,2,50Ω,
"SW201, SW202",SW_SPST_B3U-1000P,2,SW_Push,
TP101,TestPoint_Pad_1.0x1.0mm,1,TP_GND_IN,
TP102,TestPoint_Pad_1.0x1.0mm,1,TP_5V,
TP103,TestPoint_Pad_1.0x1.0mm,1,TP_3v3,
TP201,TestPoint_Pad_1.0x1.0mm,1,TP_CAN_P,
TP202,TestPoint_Pad_1.0x1.0mm,1,TP_CAN_N,
U101,SOT-223-3_TabPin2,1,AP7361C-33E,
U201,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3,
U202,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232DR,
U301,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSV16BXTR,
Y201,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ABM8-40.000MHZ-10-D1G-T,
