Designator,Mid X,Mid Y,Rotation,Layer
C101,200.0,-81.8,180.0,top
C102,200.0,-76.9,180.0,top
C103,179.1,-81.5,270.0,bottom
C104,178.4,-56.2,90.0,bottom
C201,175.6,-69.4,0.0,bottom
C202,175.6,-71.5,0.0,bottom
C203,197.7,-73.0,0.0,bottom
C204,172.2,-63.2,90.0,bottom
C205,176.1,-63.2,90.0,bottom
C206,178.9,-76.9,270.0,top
C207,172.1,-76.9,90.0,top
C208,184.4,-70.7675,270.0,top
C209,180.8,-70.7675,270.0,top
C210,190.9,-83.45,0.0,bottom
C301,189.4,-73.0,180.0,bottom
C302,193.1,-70.9,0.0,bottom
D101,205.127501,-54.400001,0.0,top
D102,181.15,-75.8625,270.0,bottom
D103,181.1,-65.5,90.0,bottom
D201,197.7,-70.2,90.0,top
D202,205.127501,-58.505001,0.0,top
D203,205.127501,-62.610001,0.0,top
J202,205.395001,-70.180001,90.0,top
J203,189.137501,-59.67,180.0,top
J204,189.462501,-80.73,0.0,top
R101,205.105001,-54.400001,180.0,bottom
R201,206.0,-71.5,180.0,bottom
R202,206.0,-68.8,180.0,bottom
R207,176.1,-63.2,90.0,top
R208,172.2,-63.2,90.0,top
R209,205.105001,-58.505001,0.0,bottom
R210,205.105001,-62.610001,0.0,bottom
R211,187.9,-85.9,180.0,bottom
R212,189.3,-81.0,0.0,bottom
SW201,174.0,-84.9,180.0,top
SW202,179.1,-84.9,180.0,top
U101,200.0,-79.3,0.0,bottom
U201,175.45,-70.4875,270.0,top
U202,182.775,-70.7,90.0,bottom
U301,189.6,-70.3,0.0,top
Y201,175.5,-76.9,180.0,top
