"Reference","Qty","Value","DNP","Footprint","Datasheet","Digi-Key_PN"
"C101,C102","2","4.7uF","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","490-12394-1-ND"
"J201","1","Pads","","daisyChain_Custom:motorPads","",""
"J202,J203","2","XT30","","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/745/FIT0586_Web.pdf",""
"J204","1","Pads","","daisyChain_Custom:CAN_pads","",""
"J205","1","Pads","","daisyChain_Custom:UART_pads","",""
"J206,J207","2","RJ45","","Connector_RJ:RJ45_Amphenol_54602-x08_Horizontal","https://www.waldom.com/upload/parts/datasheets/mf-fci/fci-54602-908lf.pdf","609-1046-ND"
"R201,R202","2","1kΩ","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","541-1.00KCCT-ND"
"TP201","1","CAN_P_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP202","1","SDA_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP203","1","CAN_N_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP204","1","SCL_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP205","1","TX_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP206","1","5V_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP207","1","RX_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP208","1","GND_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP209","1","48V_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP210","1","Power_GND_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"TP211","1","3V3_TP","","TestPoint:TestPoint_Pad_D2.0mm","",""
"U101","1","AP7361C-33E-13","","daisyChain_Custom:SOT223_DIO-L","https://www.diodes.com/assets/Datasheets/AP7361C.pdf",""
