Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0805,2,4.7uF,
J201,motorPads,1,Pads,
"J202, J203",AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,2,XT30,
J204,CAN_pads,1,Pads,
J205,UART_pads,1,Pads,
"J206, J207",RJ45_Amphenol_54602-x08_Horizontal,2,RJ45,
"R201, R202",0805,2,1kΩ,
TP201,TestPoint_Pad_D2.0mm,1,CAN_P_TP,
TP202,TestPoint_Pad_D2.0mm,1,SDA_TP,
TP203,TestPoint_Pad_D2.0mm,1,CAN_N_TP,
TP204,TestPoint_Pad_D2.0mm,1,SCL_TP,
TP205,TestPoint_Pad_D2.0mm,1,TX_TP,
TP206,TestPoint_Pad_D2.0mm,1,5V_TP,
TP207,TestPoint_Pad_D2.0mm,1,RX_TP,
TP208,TestPoint_Pad_D2.0mm,1,GND_TP,
TP209,TestPoint_Pad_D2.0mm,1,48V_TP,
TP210,TestPoint_Pad_D2.0mm,1,Power_GND_TP,
TP211,TestPoint_Pad_D2.0mm,1,3V3_TP,
U101,SOT223_DIO-L,1,AP7361C-33E-13,
