Designator,Mid X,Mid Y,Rotation,Layer
C101,135.5,-48.2625,90.0,top
C102,160.0,-65.0,90.0,top
H401,156.319805,-55.680195,0.0,top
H402,167.966662,-99.146857,0.0,top
H403,136.146857,-130.966662,0.0,top
J201,176.5,-90.0,90.0,top
J202,143.825,-48.15,0.0,top
J203,149.825,-126.85,180.0,top
J204,176.15,-77.6,270.0,top
J205,176.7,-100.3,90.0,top
J206,170.495,-63.165,180.0,top
J207,166.82,-110.835,0.0,top
R201,170.13,-71.5,180.0,top
R202,171.4,-73.65,180.0,top
TP201,174.725,-55.3,0.0,bottom
TP202,129.45,-131.1,0.0,top
TP203,171.125,-55.3,0.0,bottom
TP204,129.45,-127.55,0.0,top
TP205,172.6,-119.2,180.0,bottom
TP206,128.3,-41.45,0.0,top
TP207,169.1,-119.2,180.0,bottom
TP208,149.15,-58.2,0.0,top
TP209,179.0,-85.0,0.0,top
TP210,179.0,-90.0,0.0,top
TP211,133.55,-41.05,0.0,top
U101,130.0,-47.0,90.0,top
